NCESSCH School ID,CT Unemployment Rate,CT Pct Adults with College Degree,CT Pct Childre In Married Couple Family,CT Median Household Income,School ACT average (or equivalent if SAT score),School Pct Free and Reduced Lunch
100001600143,12%,45%,35%,42820,20.43,7%
100008000024,6%,66%,77%,89320,19.50,11%
100008000225,6%,70%,71%,84140,19.55,10%
100017000029,4%,69%,64%,56500,17.74,30%
100018000040,8%,64%,83%,54015,18.25,26%
100019000050,8%,67%,48%,50649,17.03,43%
100020000238,8%,75%,,12825,18.39,34%
100020000239,8%,62%,60%,59861,15.54,37%
100020000240,11%,59%,67%,62078,14.98,35%
100023000209,4%,54%,84%,61031,15.11,36%
100027000080,9%,55%,43%,55347,17.85,17%
100068000085,11%,47%,51%,46644,18.01,30%
100068000090,5%,42%,62%,59500,16.07,45%
100079000095,14%,53%,51%,40625,17.18,39%
100081000100,8%,43%,46%,39428,16.16,47%
100108000111,9%,30%,69%,37917,17.29,35%
100124000242,6%,86%,96%,105708,17.97,30%
100124000246,3%,79%,69%,102383,18.31,28%
100124000247,7%,72%,71%,86429,18.97,17%
100130000270,12%,49%,76%,60000,19.18,15%
100130000274,8%,83%,66%,95065,15.57,45%
100130000275,4%,76%,72%,72469,16.37,42%
100130000276,3%,81%,84%,151750,18.77,30%
100153000158,8%,53%,64%,57929,15.62,53%
100162000299,10%,50%,54%,51103,17.03,28%
100185000194,12%,37%,55%,50739,16.00,45%
120000207982,7%,74%,52%,43352,21.03,30%
120003000013,12%,73%,36%,19782,24.04,38%
120003000019,4%,65%,65%,54225,21.69,43%
120003000020,5%,64%,60%,46554,22.67,36%
120003000028,12%,38%,45%,33354,26.72,49%
120003000029,3%,81%,68%,75341,23.35,26%
120006000035,9%,38%,79%,65391,17.49,39%
120009000039,21%,55%,75%,25747,22.62,48%
120009000064,11%,35%,42%,35256,20.37,46%
120009000067,4%,52%,57%,43151,23.16,30%
120009004305,8%,65%,40%,48778,23.28,36%
120009007903,18%,67%,37%,25392,22.74,13%
120012000070,13%,47%,51%,33636,17.98,41%
120015000078,20%,63%,50%,29099,22.03,32%
120015000088,9%,59%,35%,41615,22.86,33%
120015000090,16%,35%,12%,20625,22.64,27%
120015000100,18%,40%,32%,30345,20.01,60%
120015000103,18%,64%,47%,28940,23.06,22%
120015000104,11%,69%,55%,42364,22.55,44%
120015000109,15%,54%,62%,42823,21.54,35%
120015000118,16%,68%,58%,37185,22.35,22%
120015000119,16%,68%,58%,37185,25.84,8%
120015000127,10%,84%,54%,64151,24.55,20%
120015000131,3%,89%,72%,61726,23.82,15%
120015002977,11%,54%,94%,56912,23.52,31%
120015003293,9%,54%,56%,42979,21.54,38%
120015003296,10%,69%,79%,39558,26.23,8%
120015004244,11%,68%,75%,66603,22.96,8%
120015007530,22%,52%,67%,48565,19.30,48%
120018000153,12%,52%,44%,35256,20.57,58%
120018000157,12%,62%,41%,42275,19.08,72%
120018000160,12%,46%,64%,51500,19.32,58%
120018000168,31%,26%,16%,15942,17.69,76%
120018000169,22%,34%,36%,28779,18.88,79%
120018000171,11%,46%,42%,25477,17.27,74%
120018000217,12%,53%,85%,31934,21.30,57%
120018000225,20%,49%,56%,45759,20.05,48%
120018000231,20%,45%,43%,43669,18.47,64%
120018000234,9%,60%,64%,38598,21.52,42%
120018000241,6%,63%,50%,58329,19.05,56%
120018000247,9%,87%,98%,84063,18.83,59%
120018000249,9%,71%,76%,59410,17.25,72%
120018000251,19%,32%,28%,28689,20.18,61%
120018000252,15%,64%,31%,36660,18.05,78%
120018000253,17%,62%,42%,50984,20.49,59%
120018000264,12%,56%,53%,42384,18.20,54%
120018000265,11%,64%,53%,71325,22.25,19%
120018000272,6%,35%,73%,40247,19.96,54%
120018002117,6%,73%,73%,86518,20.93,40%
120018002120,8%,51%,63%,53952,21.32,31%
120018002721,6%,74%,78%,97143,22.96,18%
120018003029,7%,79%,79%,82178,20.86,37%
120018003301,9%,71%,47%,43324,22.72,28%
120018003545,12%,59%,51%,43445,20.84,23%
120018003684,13%,65%,84%,45954,26.55,20%
120018003815,9%,72%,85%,113203,23.06,13%
120018003823,10%,64%,87%,85717,20.30,27%
120018004037,13%,70%,60%,67855,20.42,44%
120018004050,8%,71%,89%,83802,19.81,39%
120018004052,6%,81%,72%,89750,20.20,37%
120018004058,13%,65%,84%,45954,23.30,19%
120018004318,10%,80%,81%,97593,22.11,18%
120018007300,6%,53%,73%,51023,19.64,53%
120018007555,10%,64%,87%,85717,21.84,19%
120024000296,24%,51%,14%,26636,21.94,40%
120024000298,22%,58%,71%,44063,22.84,35%
120024002122,6%,56%,52%,38237,21.18,48%
120024007659,24%,51%,14%,26636,23.23,1%
120027000305,19%,54%,38%,32095,20.15,47%
120027000314,12%,39%,54%,29109,21.35,49%
120027002425,11%,49%,54%,35531,21.74,42%
120030000323,12%,55%,52%,39375,20.89,38%
120030000328,20%,57%,73%,55221,21.42,36%
120030000330,12%,49%,26%,37944,21.64,30%
120030002053,4%,62%,60%,58974,20.32,33%
120030002494,8%,55%,58%,47981,21.91,27%
120030004062,12%,68%,65%,86081,22.91,11%
120030007558,9%,71%,73%,82955,20.10,21%
120033000343,10%,65%,80%,61088,21.69,37%
120033000354,17%,32%,65%,44471,20.54,61%
120033000355,8%,9%,35%,18861,17.54,87%
120033000357,5%,70%,66%,48660,22.81,24%
120033003336,8%,72%,77%,63483,22.33,20%
120033003959,12%,60%,49%,43057,18.64,67%
120033003960,6%,56%,57%,59273,20.42,40%
120036000358,13%,56%,48%,44231,21.45,45%
120036004331,23%,54%,75%,42857,20.15,53%
120039000589,9%,58%,59%,33465,18.37,70%
120039000590,3%,93%,79%,122750,20.47,61%
120039000591,8%,38%,47%,38911,15.51,76%
120039000592,10%,72%,82%,66385,15.32,73%
120039000593,21%,24%,56%,25114,15.78,86%
120039000594,0%,68%,100%,36250,19.57,58%
120039000595,20%,39%,54%,45873,16.27,81%
120039000596,28%,34%,53%,21844,14.68,78%
120039000599,17%,60%,70%,37332,19.22,69%
120039000600,20%,26%,27%,24715,14.63,88%
120039000601,20%,21%,44%,15170,15.90,87%
120039000602,2%,76%,82%,94439,19.59,51%
120039000603,18%,50%,58%,59688,15.73,75%
120039000604,21%,34%,11%,23190,15.51,81%
120039000605,9%,85%,87%,97500,22.28,30%
120039000606,8%,61%,22%,23644,18.13,82%
120039000607,10%,76%,74%,70306,18.98,71%
120039000608,5%,61%,82%,65854,18.32,60%
120039000609,15%,55%,71%,29519,18.88,69%
120039000610,20%,40%,67%,32333,16.44,83%
120039000612,9%,68%,78%,60673,18.20,75%
120039000613,5%,83%,85%,60521,18.30,68%
120039000614,11%,34%,35%,27561,16.59,78%
120039000615,8%,53%,49%,52715,19.47,66%
120039001443,8%,74%,65%,36651,26.14,27%
120039001478,28%,34%,53%,21844,16.78,79%
120039002735,10%,61%,90%,85893,18.86,64%
120039002736,13%,58%,46%,37350,23.11,29%
120039002809,,,,,25.84,20%
120039002810,,34%,,,22.62,24%
120039002988,15%,41%,62%,34725,19.42,54%
120039003052,15%,53%,61%,56169,22.55,32%
120039003164,21%,50%,65%,49479,20.84,21%
120039003345,7%,53%,58%,61118,21.40,48%
120039003562,35%,30%,24%,16328,14.80,89%
120039003699,4%,85%,72%,62158,20.23,40%
120039003838,20%,38%,50%,29637,20.37,61%
120039003973,5%,91%,97%,64236,19.30,28%
120039003975,16%,56%,49%,44224,17.08,65%
120039003977,4%,31%,80%,25616,19.81,52%
120039004077,12%,52%,93%,48171,19.98,48%
120039004078,13%,39%,52%,37760,19.32,59%
120039004339,6%,70%,67%,55098,20.49,60%
120039004340,8%,76%,79%,62765,18.37,57%
120039004726,0%,75%,86%,48250,20.67,34%
120039005493,4%,85%,72%,62158,20.98,32%
120039005861,14%,30%,45%,25490,19.76,79%
120039006229,12%,39%,60%,43882,18.17,70%
120039007016,7%,25%,32%,16258,22.33,53%
120039007077,7%,61%,83%,78531,19.00,54%
120039007242,7%,25%,32%,16258,19.47,85%
120039007453,13%,62%,69%,50703,18.13,51%
120039007454,10%,52%,85%,46950,16.78,69%
120039007456,5%,61%,82%,65854,24.38,31%
120039007496,30%,40%,13%,14000,20.62,65%
120039007599,13%,58%,46%,37350,20.57,20%
120039007634,11%,74%,64%,43660,22.59,27%
120039007635,19%,60%,38%,25060,19.32,52%
120039007923,10%,29%,64%,28661,18.15,54%
120042000620,13%,34%,41%,37471,19.40,70%
120048000648,6%,83%,74%,45172,17.71,53%
120048000649,24%,35%,14%,20212,15.98,69%
120048000651,15%,38%,77%,50797,18.52,36%
120048000671,15%,33%,7%,26369,23.52,19%
120048000681,13%,45%,58%,42854,17.71,53%
120048000685,10%,51%,40%,33693,16.47,59%
120048000691,18%,39%,10%,25517,16.10,54%
120048000706,19%,40%,18%,19228,26.45,9%
120048000714,15%,39%,20%,27548,15.32,63%
120048000748,3%,84%,93%,68026,21.67,25%
120048000749,10%,50%,53%,26196,17.15,59%
120048000759,10%,68%,72%,55728,20.47,35%
120048000762,19%,49%,34%,43768,15.73,48%
120048000767,18%,46%,17%,30587,18.64,54%
120048000772,19%,49%,34%,43768,17.34,45%
120048000773,19%,40%,18%,19228,14.88,61%
120048002469,17%,49%,45%,28571,22.11,13%
120048002744,8%,83%,87%,97904,21.30,18%
120048002745,12%,57%,78%,54417,17.71,40%
120048002816,23%,32%,17%,18221,21.94,31%
120048007418,12%,64%,40%,46232,20.10,25%
120048007629,5%,88%,72%,50886,20.37,22%
120051000794,8%,56%,34%,28712,18.66,51%
120051000805,9%,83%,73%,48417,25.74,55%
120051000812,11%,73%,61%,54590,22.67,31%
120051000837,11%,72%,72%,66625,19.22,60%
120051002169,9%,60%,33%,35275,22.52,44%
120051003703,11%,72%,72%,66625,20.89,31%
120054000842,14%,53%,57%,38319,19.88,50%
120054005533,8%,63%,69%,60167,21.06,41%
120060004082,4%,57%,46%,50250,15.12,45%
120066000864,,,,,18.57,54%
120072000872,17%,33%,43%,35773,15.42,36%
120075000877,11%,23%,66%,33143,17.47,62%
120078000888,21%,44%,48%,39688,17.08,67%
120078002663,8%,41%,71%,53138,17.74,69%
120081000890,17%,43%,42%,29598,22.91,49%
120081000896,20%,48%,48%,35543,21.45,42%
120081002604,7%,61%,69%,33239,19.79,53%
120081004083,13%,50%,72%,56182,19.91,40%
120081006808,15%,56%,84%,49339,20.69,53%
120084000905,19%,41%,47%,22204,20.64,51%
120084000906,22%,29%,34%,28787,18.88,63%
120084000907,8%,48%,64%,32711,21.30,54%
120087000918,7%,57%,73%,57019,19.18,48%
120087000930,15%,31%,76%,30043,18.69,66%
120087000945,6%,67%,64%,61186,18.52,45%
120087000960,3%,68%,57%,52647,21.45,58%
120087000965,14%,53%,34%,43207,23.01,54%
120087000972,8%,43%,64%,38314,16.71,74%
120087000999,4%,92%,87%,104888,23.01,16%
120087001000,14%,40%,41%,39747,19.03,52%
120087001007,8%,64%,18%,30407,22.18,37%
120087001011,8%,59%,60%,50577,18.98,61%
120087002325,11%,53%,33%,37460,20.18,59%
120087002437,11%,68%,52%,48358,20.15,38%
120087002505,14%,50%,50%,39696,17.03,66%
120087002562,9%,75%,81%,95625,21.30,29%
120087002997,3%,83%,91%,101176,19.76,37%
120087003179,13%,68%,28%,39063,19.86,53%
120087003181,4%,72%,68%,85205,20.62,29%
120087003185,17%,83%,16%,53991,20.57,41%
120087003379,12%,64%,65%,54093,19.37,35%
120087003711,5%,76%,72%,90417,19.35,47%
120087003858,9%,82%,81%,56399,20.62,47%
120087003862,23%,32%,29%,25625,17.56,67%
120087004091,7%,77%,96%,151250,22.28,12%
120087004169,10%,66%,66%,51774,17.78,62%
120087004872,5%,46%,62%,41898,17.49,65%
120087006917,7%,71%,58%,40956,21.74,16%
120087006987,20%,46%,41%,34000,19.32,29%
120087007001,13%,68%,77%,72152,21.15,41%
120093001052,16%,59%,45%,30590,22.16,42%
120093002283,11%,39%,74%,39489,21.96,49%
120093003408,8%,60%,52%,31906,21.96,7%
120105001092,14%,48%,55%,34444,21.74,43%
120105001097,19%,35%,61%,27109,20.96,55%
120105001099,9%,57%,39%,43818,21.37,38%
120105001102,10%,48%,50%,33375,21.81,38%
120105001105,9%,47%,85%,46387,20.89,48%
120105001714,12%,43%,70%,55245,20.25,41%
120105003868,8%,69%,78%,59939,21.25,39%
120105007689,8%,69%,78%,59939,21.08,38%
120108001133,20%,24%,28%,23221,23.45,29%
120108001139,19%,45%,54%,35398,20.30,36%
120108001150,14%,74%,83%,51198,20.37,47%
120108001157,10%,33%,64%,28321,21.57,42%
120108002075,14%,59%,56%,43225,20.84,49%
120108002398,15%,47%,52%,43531,18.49,68%
120108002565,14%,49%,66%,53664,20.81,49%
120108002566,13%,65%,71%,60846,21.23,43%
120108003952,13%,64%,97%,38692,18.91,54%
120108003955,8%,74%,86%,87128,19.18,48%
120108003965,10%,75%,67%,63850,19.96,39%
120108003966,17%,60%,52%,55500,16.78,78%
120108004368,28%,30%,23%,25878,16.32,74%
120108007353,6%,55%,71%,47647,18.61,63%
120108007441,10%,75%,67%,63850,21.40,11%
120108007882,6%,62%,47%,45375,23.06,14%
120111001162,8%,91%,71%,38407,23.35,24%
120111001166,33%,51%,36%,35076,21.98,45%
120111001176,16%,82%,24%,28291,18.64,47%
120111001194,9%,61%,42%,40780,22.91,19%
120111003598,2%,85%,81%,94519,23.45,7%
120123001220,13%,49%,51%,38516,19.27,66%
120123001223,9%,49%,80%,55921,20.89,45%
120123001232,5%,37%,51%,32221,19.42,52%
120123001236,19%,18%,35%,28025,21.30,65%
120123003425,7%,84%,89%,81605,22.33,18%
120123003429,15%,36%,58%,38153,19.81,49%
120123005608,6%,61%,60%,71000,20.93,28%
120123007901,16%,42%,26%,32274,23.45,23%
120126001269,9%,35%,78%,50869,20.32,57%
120126001271,11%,67%,89%,67853,21.37,35%
120126001277,17%,43%,39%,26862,23.55,43%
120126001280,12%,50%,68%,31653,19.10,63%
120126002442,14%,54%,44%,34348,19.03,57%
120126002914,8%,36%,59%,32384,20.18,47%
120126004386,10%,60%,66%,49149,20.25,49%
120129001282,14%,47%,27%,31571,21.69,31%
120129002344,10%,70%,86%,54792,21.94,34%
120129004042,18%,73%,46%,43632,22.40,23%
120129004044,12%,36%,47%,26471,23.33,17%
120132001292,10%,63%,54%,60625,22.08,26%
120132001294,10%,65%,42%,59052,20.89,28%
120132001296,6%,67%,22%,62132,20.42,44%
120135001315,15%,43%,63%,44593,17.66,41%
120135001317,6%,48%,65%,59347,18.10,28%
120135002851,10%,63%,55%,49677,20.71,26%
120135004995,11%,44%,72%,47933,19.20,32%
120138001333,6%,72%,55%,44362,23.50,11%
120138001347,9%,41%,23%,32256,23.47,27%
120138001348,14%,56%,66%,58252,22.59,27%
120138001351,8%,51%,36%,39018,22.67,26%
120138004392,6%,72%,55%,44362,25.60,10%
120141001358,31%,28%,38%,26513,18.52,52%
120144000865,10%,62%,72%,54449,20.37,59%
120144001363,5%,82%,71%,51944,21.59,37%
120144001364,5%,82%,77%,78750,20.81,51%
120144001403,10%,49%,34%,34977,18.35,68%
120144001404,20%,40%,52%,36048,17.20,77%
120144001406,11%,34%,53%,26480,15.76,100%
120144001447,9%,85%,90%,44916,22.94,29%
120144001454,11%,60%,76%,55829,21.54,29%
120144001455,9%,62%,60%,57540,19.86,45%
120144001459,27%,36%,9%,15852,17.20,77%
120144002572,5%,79%,78%,88504,21.79,43%
120144002779,7%,67%,27%,34063,21.54,47%
120144003745,5%,82%,80%,79113,21.76,24%
120144003746,7%,84%,86%,102981,21.74,33%
120144004117,7%,59%,65%,37476,20.79,46%
120144005017,14%,51%,50%,39438,18.98,57%
120144005634,10%,33%,61%,33846,20.91,0%
120144005638,10%,33%,61%,33846,20.54,53%
120144007614,11%,67%,62%,46386,20.62,48%
120144007646,6%,74%,75%,88626,21.67,32%
120144007822,5%,76%,76%,77545,19.47,0%
120147001469,12%,33%,38%,22885,17.69,65%
120147001473,18%,45%,61%,38225,20.18,43%
120147002476,16%,53%,57%,44718,19.88,61%
120147002866,10%,46%,76%,45761,16.37,63%
120147003467,19%,57%,68%,42475,19.00,46%
120147004013,7%,68%,58%,41971,20.67,30%
120147004118,12%,57%,90%,47083,21.15,54%
120147004119,17%,36%,47%,32816,21.42,38%
120147007417,7%,60%,71%,52821,17.34,62%
120150001477,6%,68%,65%,50441,20.91,24%
120150001484,24%,57%,28%,27386,25.57,22%
120150001507,21%,42%,38%,30985,15.88,73%
120150001516,17%,15%,23%,34018,15.02,75%
120150001527,5%,67%,5%,37782,19.27,58%
120150001535,6%,61%,43%,46832,21.23,28%
120150001541,26%,25%,8%,15408,15.32,88%
120150001548,18%,31%,38%,23377,16.64,74%
120150001549,4%,66%,56%,44923,17.81,57%
120150001557,11%,46%,34%,30571,17.17,79%
120150002233,12%,56%,67%,44569,16.93,63%
120150002234,9%,67%,63%,43932,17.42,73%
120150002383,10%,84%,76%,93465,22.64,20%
120150002624,27%,35%,43%,26177,15.32,89%
120150002627,10%,68%,38%,55088,14.58,75%
120150002631,8%,68%,51%,73693,20.89,30%
120150002783,3%,75%,48%,61447,24.18,18%
120150002876,9%,73%,84%,74375,18.96,34%
120150002877,5%,85%,80%,87351,19.10,37%
120150003223,13%,60%,79%,66021,16.88,57%
120150003755,10%,72%,61%,66129,15.32,71%
120150003944,11%,49%,78%,69524,19.08,34%
120150004020,5%,70%,85%,67025,20.18,27%
120150004026,8%,81%,84%,107500,21.03,27%
120150004121,,,,,19.15,33%
120150004131,9%,66%,63%,71761,19.88,41%
120150004414,19%,34%,31%,29274,15.56,94%
120153001563,15%,56%,29%,31588,21.08,55%
120153001569,31%,43%,61%,27434,20.32,52%
120153001578,12%,36%,56%,34771,22.47,52%
120153001583,30%,46%,39%,35785,20.25,54%
120153001586,10%,64%,85%,71298,22.42,23%
120153001590,19%,74%,63%,36929,21.08,65%
120153002882,10%,61%,65%,58685,21.35,27%
120153003650,4%,68%,63%,72910,20.84,36%
120153004423,3%,79%,88%,80757,21.45,22%
120153006440,9%,78%,64%,69809,21.42,21%
120153007331,9%,56%,88%,54524,20.93,20%
120153007618,12%,49%,61%,37500,19.59,58%
120153007713,7%,60%,80%,36875,21.06,55%
120156001605,5%,72%,59%,44722,18.39,34%
120156001610,4%,59%,84%,61750,20.57,45%
120156001614,5%,46%,68%,50074,17.69,34%
120156001616,11%,64%,48%,41875,20.20,37%
120156001624,19%,48%,44%,36853,17.52,46%
120156001633,7%,63%,6%,27188,18.42,49%
120156001635,6%,57%,65%,38177,21.20,39%
120156001647,9%,55%,63%,43546,19.66,41%
120156001667,8%,59%,54%,47240,20.42,42%
120156001675,7%,52%,33%,32343,23.21,31%
120156001680,6%,73%,75%,63208,22.16,23%
120156001693,15%,63%,56%,47174,21.67,32%
120156002242,7%,87%,58%,75237,21.62,31%
120156002397,16%,63%,70%,47115,21.72,12%
120156003014,8%,76%,71%,71071,24.21,13%
120156003110,6%,79%,92%,94067,22.35,14%
120156004033,7%,68%,68%,51969,24.50,18%
120159001703,10%,66%,84%,44286,21.15,38%
120159001726,13%,37%,55%,32104,17.88,48%
120159001745,12%,31%,41%,33750,19.79,46%
120159001753,9%,54%,67%,53173,19.03,41%
120159001762,6%,62%,73%,53276,19.03,52%
120159001766,32%,28%,42%,22485,20.01,54%
120159001785,29%,24%,67%,28286,21.06,11%
120159001790,10%,51%,49%,42060,20.27,48%
120159001795,7%,40%,57%,29920,19.13,59%
120159001796,13%,34%,56%,37632,19.81,63%
120159001985,5%,71%,85%,86712,21.37,31%
120159002405,16%,40%,27%,40677,19.05,49%
120159003016,13%,35%,55%,40493,18.98,52%
120159004179,14%,59%,80%,52860,18.74,55%
120159004186,1%,72%,85%,61842,22.08,15%
120159005349,13%,58%,49%,48915,22.28,19%
120159007310,18%,31%,90%,39952,18.64,64%
120162001811,5%,45%,42%,31275,18.44,57%
120165001821,5%,78%,86%,85529,24.62,14%
120165001826,23%,48%,69%,32449,18.49,44%
120165001830,7%,60%,81%,51946,22.23,22%
120165003122,5%,71%,78%,65580,23.23,18%
120168001838,10%,60%,39%,45469,21.20,41%
120168001847,7%,51%,49%,45455,23.01,30%
120168001851,11%,61%,82%,41595,21.69,30%
120168002461,22%,28%,29%,19714,21.45,59%
120168003800,12%,52%,56%,45903,20.40,50%
120168003933,13%,43%,17%,38851,21.13,26%
120168007003,8%,56%,58%,58154,21.54,30%
120171001872,8%,59%,30%,31516,23.16,37%
120171001886,4%,76%,66%,58792,22.86,23%
120171001887,20%,67%,79%,57750,22.25,37%
120171001888,8%,82%,83%,82466,22.77,27%
120171001895,5%,79%,83%,55152,21.69,33%
120171002261,3%,87%,65%,57200,22.16,31%
120171002533,22%,36%,34%,19833,23.03,33%
120171003270,6%,78%,79%,88111,21.86,37%
120171005736,10%,87%,77%,97031,23.11,17%
120174001916,9%,48%,52%,42024,22.64,35%
120174002262,5%,74%,93%,73403,23.47,9%
